Symbol,Daily $ Volume,50 SMA % Difference,200 SMA % Difference,Beta value,Sharpe Ratio,Volatility,RSI,Cluster
USDC-USD,5412055552.0,-0.0051764136235173995,-0.010946287463543649,-0.00022982417879615722,-20.43423478573903,0.002502054907541502,43.72781872781872,0
AAVE-USD,118906312.0,4.989663435772907,-2.5470549747774593,0.9798526376567686,0.5098632444145261,0.6544653987887232,53.574454942855134,1
MKR-USD,128141264.0,2.6275325864503527,0.81796823849083,0.632533265954716,1.3362132811172827,0.6398558136951727,50.44819641409778,1
LTC-USD,310825696.0,-9.125966893280363,-12.488148123336869,0.7535061544245572,-0.27459343761570937,0.5217546521889966,44.5354295246656,1
DOT-USD,145906336.0,-5.317690145890849,-19.430556780972964,0.9790743498495423,0.3979838053885316,0.5966652938391904,48.18336515353415,1
ETH-USD,13045063680.0,-10.606890133748983,0.2135646081590985,0.9049302859200681,0.889282595212192,0.4530694555339612,37.10984161549842,1
BTC-USD,26164166656.0,-10.398451184338636,-2.1157991913139393,1.0027397260273971,1.1813745114526195,0.39801879690880276,42.13758118982168,1
BCH-USD,220434608.0,-11.775030402786403,-6.983704294712101,1.0312721220074108,0.5171964016763202,0.8011010636652312,45.04358752646761,1
XTZ-USD,21306104.0,-7.4769015463794,-25.848743208589823,0.9698210060888953,0.11096695884546451,0.5714323363593471,51.32545601315273,1
DOGE-USD,480590368.0,-20.691449027825964,-17.638888086002638,1.2812765886266564,0.7615532680490135,0.7093318844929017,34.59660438643918,2
LINK-USD,296652704.0,-16.115488675146793,-22.146083359493083,0.9027544461243093,0.9805740075360833,0.6733858442092031,42.42128346687614,2
BAT-USD,29961188.0,-13.045768264595619,-27.944320049361426,0.9789444483210572,0.09798753985007301,0.5721040105186255,41.995666054969305,2
SHIB-USD,210466480.0,-19.06935660681675,-15.530069192668435,1.2040399847611083,0.9044151312731913,1.0322965941432032,44.97865892511975,2
SUSHI-USD,12431734.0,-26.07613083415871,-43.353792719707435,1.059649192555879,0.43429542144981376,0.8936048292616849,35.74526180233248,2
UNI-USD,10.0,-10.572798637204755,-37.80975234861521,1.237915176874778,0.9938181332620902,4.387511718533514,41.3324538466049,2
AVAX-USD,235161392.0,-14.968307224015001,-31.619179035340622,1.1429709148065603,0.9305822089620597,0.7445650478242807,43.1321335554026,2
CRV-USD,62178192.0,-22.14652114167854,-45.05558048531856,1.0768326339544445,-0.6699663458903162,0.7353974982091686,49.83659122697748,2
USDT-USD,47228481536.0,0.070838405863571,0.02134749743469459,0.004651494639077524,-8.520883707145321,0.00597395897396556,76.2554784514244,3
