Symbol,Daily $ Volume,50 SMA % Difference,200 SMA % Difference,50 Day EMA % Difference,200 Day EMA % Difference,Beta value,Sharpe Ratio,Volatility,Cluster
AAVE-USD,153413760.0,-18.62878016556096,-24.20902344470493,-17.19622140101718,-20.178370515167774,0.9766161274321361,0.2662381605077723,0.6568006021870599,0.0
MKR-USD,107995712.0,-19.30094929037014,-16.519935835846912,-18.39918061887471,-14.643629601678624,0.6195603384905563,1.1071104362870985,0.6396578382544196,0.0
LTC-USD,614419584.0,-24.9440224821346,-25.04359917737235,-23.198213410015455,-25.666442744178262,0.7812763785407896,-0.5366292313881286,0.5331170020043604,0.0
LINK-USD,595456832.0,-26.75581345526962,-29.805880910619027,-22.90028783126732,-24.22171317646315,0.9129154952487797,0.8731095338835871,0.6759618716334971,0.0
DOT-USD,357125248.0,-21.581082286395887,-31.88534169917161,-19.854210479790673,-25.69958308271873,0.983561466996812,0.20400285371493276,0.5980057988791081,0.0
ETH-USD,27066632192.0,-18.865945256368395,-6.694835576807558,-16.316096527829817,-6.815177609574468,0.913127896891312,0.732409637054006,0.45910144149445326,0.0
BTC-USD,48805298176.0,-18.14572391467514,-7.382653618281363,-15.794424724667994,-7.162484620668394,1.0027472527472527,1.0572635692533578,0.4026356203997227,0.0
BCH-USD,383535968.0,-29.903507816217555,-21.062975124325266,-27.09214165855086,-22.90015039116112,1.0342437292677908,0.4017948376633623,0.8035324639371471,0.0
USDT-USD,89533587456.0,0.031024781622787944,-0.020359180592083546,0.037911906345959014,-0.0067667908449973845,0.004249255943754173,-8.567366259153824,0.005986718610255622,1.0
USDC-USD,8714137600.0,0.005467601623171031,-0.00044033854170558574,0.005633380083493771,0.0016028491758229538,-0.00029001486502839126,-20.35686389317571,0.002512044301175062,1.0
DOGE-USD,1569737216.0,-32.24349856522395,-25.106535208622528,-28.885404611972582,-25.481269917210902,1.284722406664126,0.6385866071296011,0.7137299529974348,2.0
BAT-USD,48707172.0,-28.66631891431282,-38.36395051932854,-26.639834543276024,-34.57526064207124,0.9880724615823346,-0.0846556160361601,0.579157253604253,2.0
AVAX-USD,472745760.0,-29.148587210140413,-40.64097473115737,-26.301934532280114,-32.25188937573451,1.1375414864216407,0.8453864191057737,0.7468028793589702,2.0
SHIB-USD,473212288.0,-38.25402936207028,-30.22928508824822,-34.116063443819385,-30.64666308937215,1.206956509748011,0.8612030510290983,1.040628318900433,2.0
SUSHI-USD,60440940.0,-39.85931229744852,-51.037902395822975,-36.69676406104123,-45.78074610487152,1.0716355734724694,0.2861220316891016,0.8973006616957592,2.0
CRV-USD,151932656.0,-40.469573992225236,-55.86423812040556,-37.141868025835805,-52.98304155967486,1.0761337884855373,-0.8653024889395455,0.7271257578638182,2.0
XTZ-USD,29408912.0,-25.75416281279318,-38.58049911818869,-24.50951753855922,-33.4623514612023,0.9781780511685663,-0.07629983796233501,0.5735321862349242,2.0
UNI-USD,9.0,-24.28278883880636,-42.7841618956555,-23.41695063564164,-43.46729563018091,1.2357937667825365,0.9851762188915283,4.393960381821845,3.0
