Symbol,Daily $ Volume,50 SMA % Difference,200 SMA % Difference,Beta value,Sharpe Ratio,Volatility,RSI,Cluster
AAVE-USD,110507800.0,4.780988471666956,-2.7439340719973324,0.978448153619273,0.46155363573510505,0.6542469630475709,53.39512446163746,0
MKR-USD,124329216.0,4.385531267486341,2.572746812086112,0.6345691494880832,1.3358366614792907,0.6419809820375724,52.04541289871497,0
LTC-USD,301140320.0,-8.486204705128216,-11.863335239315202,0.7489098977756067,-0.34381935677467834,0.5204433503073044,45.357548212167735,0
DOT-USD,133027104.0,-4.739742587559835,-18.931235558899377,0.9730127407004597,0.3186175026038529,0.5943294274725622,48.80782401242804,0
ETH-USD,12083581952.0,-10.406706037696068,0.4409266881081328,0.8991002470099512,0.7915739366017737,0.4499572611767447,37.57540795255607,0
BCH-USD,239808240.0,-9.910491447187397,-4.991346143059863,1.0420877848078305,0.5619912531069656,0.8030400102177331,47.216321464701636,0
BTC-USD,24094547968.0,-10.220846406595038,-1.9191982156922502,1.0027472527472532,1.1277733528569658,0.3976041399167079,42.55411217841626,0
XTZ-USD,19825888.0,-7.075338928277512,-25.52204359810976,0.9603014057543043,-0.002683516977725406,0.5664364826355031,51.74945594046936,0
CRV-USD,60491316.0,-21.611023838114228,-44.67270065393089,1.0711161411274686,-0.7378206168533654,0.7338265290883208,50.35465902178209,1
DOGE-USD,437187712.0,-20.189977378646027,-17.111860836754353,1.2757263779909571,0.6909706720343709,0.7071211790845683,35.48121975147538,1
LINK-USD,283042976.0,-15.485917296924551,-21.554057837557938,0.888090959543057,0.8632707887210868,0.6655204527253795,43.222699112200715,1
BAT-USD,28775528.0,-12.572886127152834,-27.546931590336644,0.9715856542530635,0.003899785364197011,0.5687164691421691,42.74586906102338,1
AVAX-USD,236382192.0,-14.693834452089316,-31.395392476087142,1.1371262411206737,0.8625382730555538,0.7427481961749315,43.45311007843825,1
SHIB-USD,192833808.0,-18.465797815076616,-14.892397639947713,1.2109401274079128,0.9108665469499085,1.0338559459946084,46.20919624353979,1
SUSHI-USD,11659933.0,-25.721288476698884,-43.07857019292694,1.04721818532175,0.34612547566868634,0.8892079254020681,36.19400964224286,1
USDT-USD,44283564032.0,0.06769423692719219,0.01815674107090565,0.004609197363564798,-8.580061081669598,0.005970599853931923,76.05947156841685,2
USDC-USD,5070387200.0,0.000250225235199514,-0.005436903938572395,-0.00021988187953899817,-20.38256481175133,0.0025042906565519805,46.68804197332945,2
UNI-USD,10.0,-10.256177522597897,-37.58624029083412,1.241275247652043,0.9902296749874395,4.393502261767396,42.07647970223512,3
