Symbol,200 SMA % Difference,beta value,Cluster
USDC-USD,-0.004355124518609636,1.1392901493849898e-05,0.0
SHIB-USD,-15.133976560722376,0.24248883478605493,0.0
MKR-USD,-6.114981697156966,0.31132854302001406,0.0
USDT-USD,-0.09694987038084119,0.006067009661431652,0.0
AAVE-USD,-15.395079319450614,1.3412191832472398,1.0
LTC-USD,-9.193172427347005,1.2086651966541082,1.0
LINK-USD,-17.049802403089192,1.2068907590145799,1.0
XTZ-USD,-26.830673497076052,1.389058242897879,1.0
DOGE-USD,-8.916170855278285,1.223660495255644,1.0
BCH-USD,-4.184293158390518,1.458403928941967,1.0
BAT-USD,-27.2371287205951,1.0816035673879407,1.0
DOT-USD,-20.719707845439608,1.283165990914356,1.0
CRV-USD,-48.269068554818425,1.4656006140943636,2.0
SUSHI-USD,-35.87056733841755,2.2176991120804863,2.0
UNI-USD,-36.63500133664038,2.323435370943682,2.0
AVAX-USD,-31.36764984622667,1.6598093403785288,2.0
BTC-USD,3.1498169943432694,0.702176195991133,3.0
ETH-USD,6.829549952686893,0.7725669870872932,3.0
